Title_ID|ISBN|EISBN|EPubISBN|HISBN|PISBN|MILISBN|Display_Title|Series|Title|SubTitle|Subjects|Authors|Editors|Publisher|Imprint|Publish_Date|Publish_Year|CopyrightDate|Publish_Data|Abstract|Date_Added|Organization_ID|First_Page|Num_Pages|Build_Date|Type|Region|Retail_Price|DiscountCode|LCControl|NLM_Class|Marc_LCClass|Marc_Dewey|Marc_Title|Marc_Author|Marc_Subtitle|Marc_Publisher|Marc_PubData|Marc_Subjects|BICC_Subject|Edition|Readership|Organization_Category|Visible|MESH_Subject_Headings|LC_ID|Language_ID|CreateMARCRecord|DateTimeUpdated|Downloadable|BisacSubjectID|BisacSubjects|BisacCode|AllowAccessModel|AllowILL|Notes|Export_Record
21777964|9781619020283||||||What It Means to Be Human: Historical Reflections from the 1800s to the Present                                                                       |0||||Bourke, Joanna|||Counterpoint LLC                                                                                    |40878.00||||||||1.00|||||||||128.09 |||||||||||||||||||Movements - Humanism                                        |PHI010000||||
19002981|9781935639213||||||Glaciers (New)                                                                                                                                        |0||||Smith, Alexis M.|||Tin House Books                                                                                     |40909.00||||||||177.00|||||||||813.6  |||||||||||||||||||Literary                                                    |FIC019000||||
21777967|9781931863544||||||No Es Tu Culpa, Koko Oso: It's Not Your Fault, Koko Bear                                                                                              |0||||Lansky, Vicki|||Book Peddlers                                                                                       |40634.00||||||||1.00|||||||||FIC    |||||||||||||||||||Divorce & Separation                                        |FAM015000||||
16991577|9781933016962||||||Writer's Guide to the Courtroom: Let's Quill All the Lawyers                                                                                          |402128||||Ballman, Donna|||Behler Publications                                                                                 |40132.00||||||||1.00|||||||||347.73 |||||||||||||||||||Writing Skills                                              |REF026000||||
18955759|9781613081631||||||Ultimate Guide to Facebook Advertising: How to Access 600 Million Customers in 10 Minutes                                                             |446683||||Marshall, Perry|||Entrepreneur Press                                                                                  |40817.00||||||||1.00|||||||||659.144|||||||||||||||||||Advertising & Promotion                                     |BUS002000||||
21770195|9780465010035||||||Sword and the Shield: The Mitrokhin Archive and the Secret History of the KGB                                                                         |0||||Andrew, Christopher|||Basic Books (AZ)                                                                                    |36739.00||||||||737.00|||||||||327.124|||||||||||||||||||Europe - Russia & the Former Soviet Union                   |HIS032000||||
9840367|9780231520584||||||Mencius                                                                                                                                               |24161||||Mencius|||Columbia University Press                                                                           |40057.00||||||||209.00|||||||||181.112|||||||||||||||||||Confucianism                                                |REL018000||||
18596388|9780812697414||||||What Place for the a Priori?                                                                                                                          |0||||Shaffer, Michael|||Open Court Publishing Company                                                                       |40603.00||||||||1.00|||||||||121.3  |||||||||||||||||||Metaphysics                                                 |PHI013000||||
16664856|9781595586988||||||Tide Players: The Movers and Shakers of a Rising China                                                                                                |0||||Zha, Jianying|||New Press                                                                                           |40603.00||||||||1.00|||||||||951.060|||||||||||||||||||Business                                                    |BIO003000||||
18596421|9781593788407||||||Dachshund                                                                                                                                             |565672||||Dog Fancy Magazine|||Kennel Club Books                                                                                   |40610.00||||||||1.00|||||||||636.753|||||||||||||||||||Dogs - Breeds                                               |PET004010||||